Pz,Fp2,F7,Fp1,F4,F1,F3,F2,T3,Cz,T6,T5,T4,O2,C3,O1,C4,P3,P4,F8,Fz
-2.9851,8.6731,5.817,5.9113,12.183,5.9113,11.389,8.6731,-5.0921,4.8425,-2.8105,0.13008,2.7967,-4.8604,5.9701,-2.8341,1.943,1.0,-3.0363,10.152,12.808
-4.9751,6.7314,1.8954,2.9557,9.1371,2.9557,5.1389,6.7314,-0.067,-0.13267,-0.84967,-2.7967,2.7967,-3.8752,0.0,-0.90177,-1.072,-1.0,-5.0165,8.1218,8.867
-5.9701,1.877,-4.9673,-0.98522,4.0609,-0.98522,-1.1111,1.877,-11.122,-4.1128,1.1111,-1.8211,-1.1057,-2.89,-2.9851,0.06441,-4.0871,-1.0,-5.0165,4.0609,2.9557
-6.9652,-0.06472,-4.9673,-2.9557,1.0152,-2.9557,-1.1111,-0.06472,-11.122,-4.1128,2.0915,3.0569,-3.0569,-0.91954,-0.99502,0.06441,-4.0871,1.0,-5.0165,0.0,0.98522
-3.9801,-0.06472,2.8758,-0.98522,2.0305,-0.98522,4.0972,-0.06472,12.998,-0.13267,4.0523,5.9837,-0.13008,4.0066,6.9652,3.9291,-2.0771,6.0,-2.0462,2.0305,3.9409
-0.99502,-0.06472,6.7974,0.0,4.0609,0.0,7.2222,-0.06472,17.018,2.8524,2.0915,5.9837,-1.1057,5.977,11.94,6.8277,-1.072,9.0,0.92409,3.0457,5.9113
-2.9851,-1.0356,4.8366,-0.98522,0.0,-0.98522,4.0972,-1.0356,5.9631,0.86235,-0.84967,5.9837,-5.0081,2.0361,7.9602,1.9968,-5.0921,6.0,-2.0462,-1.0152,3.9409
-4.9751,-2.9773,5.817,0.0,-2.0305,0.0,3.0556,-2.9773,6.9682,-0.13267,-5.7516,5.9837,-6.9593,-3.8752,5.9701,-2.8341,-6.0972,3.0,-6.0066,-3.0457,1.9704
-5.9701,-1.0356,8.7582,2.9557,1.0152,2.9557,6.1806,-1.0356,8.9782,2.8524,-10.654,1.1057,-8.9106,-8.8013,7.9602,-2.8341,-4.0871,3.0,-9.967,-3.0457,4.9261
-7.9602,2.8479,10.719,4.9261,4.0609,4.9261,8.2639,2.8479,8.9782,2.8524,-12.614,1.1057,-8.9106,-11.757,9.9502,-2.8341,-5.0921,2.0,-13.927,0.0,7.8818
-10.945,3.8188,11.699,3.9409,3.0457,3.9409,7.2222,3.8188,5.9631,-2.1227,-16.535999,2.0813,-8.9106,-12.742,6.9652,-3.8003,-8.1072,0.0,-16.898001,3.0457,4.9261
-11.94,0.90615,6.7974,0.0,0.0,0.0,0.97222,0.90615,0.93802,-6.1028,-15.556,-4.748,-9.8862,-13.727,0.99502,-4.7665,-9.1122,-4.0,-15.908,1.0152,-0.98522
-6.9652,-2.9773,1.8954,-2.9557,-2.0305,-2.9557,-6.3194,-2.9773,0.93802,-5.1078,-7.7124,-3.7724,-3.0569,-7.8161,-1.99,-0.90177,-5.0921,-3.0,-8.9769,-1.0152,-4.9261
-3.9801,-4.9191,2.8758,-3.9409,-5.0761,-3.9409,-8.4028,-4.9191,-0.067,-7.0978,-8.6928,-2.7967,-5.9837,-5.8456,-2.9851,-1.868,-6.0972,-1.0,-6.9967,-3.0457,-9.8522
-4.9751,-6.8608,0.91503,-4.9261,-8.1218,-4.9261,-9.4444,-6.8608,-0.067,-10.083,-9.6732,-3.7724,-10.862,-5.8456,-3.9801,-6.6989,-9.1122,-3.0,-6.9967,-4.0609,-11.823
-6.9652,-6.8608,-0.06536,-5.9113,-10.152,-5.9113,-9.4444,-6.8608,0.93802,-9.0879,-10.654,-6.6992,-9.8862,-8.8013,-1.99,-10.564,-9.1122,-4.0,-7.9868,-5.0761,-13.793
-4.9751,-3.9482,0.91503,-3.9409,-6.0914,-3.9409,-6.3194,-3.9482,-1.072,-5.1078,-8.6928,-4.748,-5.9837,-9.7865,2.9851,-10.564,-5.0921,-3.0,-6.0066,-1.0152,-9.8522
-3.9801,-2.0065,1.8954,-2.9557,-2.0305,-2.9557,-4.2361,-2.0065,2.9481,-3.1177,-7.7124,-4.748,0.84553,-10.772,3.9801,-9.5974,-2.0771,-2.0,-4.0264,2.0305,-6.8966
-4.9751,-3.9482,-1.0458,-4.9261,-3.0457,-4.9261,-6.3194,-3.9482,6.9682,-7.0978,-7.7124,-6.6992,1.8211,-12.742,-2.9851,-11.53,-3.0821,-4.0,-4.0264,2.0305,-7.8818
-2.9851,-2.9773,-1.0458,-2.9557,-2.0305,-2.9557,-4.2361,-2.9773,0.93802,-8.0929,-2.8105,-6.6992,6.6992,-9.7865,-5.9701,-8.6312,-1.072,-3.0,-2.0462,2.0305,-5.9113
-3.9801,-4.9191,-3.0065,-2.9557,-4.0609,-2.9557,-5.2778,-4.9191,-9.1122,-9.0879,-0.84967,-11.577,6.6992,-8.8013,-8.9552,-6.6989,-2.0771,-4.0,-1.0561,1.0152,-6.8966
-3.9801,-4.9191,-4.9673,-2.9557,-5.0761,-2.9557,-5.2778,-4.9191,-19.162001,-10.083,-0.84967,-13.528,-1.1057,-5.8456,-7.9602,-7.6651,-5.0921,-4.0,-1.0561,-1.0152,-6.8966
